item,itemLabel
http://www.wikidata.org/entity/Q87759091,Q87759091
http://www.wikidata.org/entity/Q87915585,Q87915585
http://www.wikidata.org/entity/Q88893630,Punchbowl Glacier
http://www.wikidata.org/entity/Q89038948,Tælavågisen
http://www.wikidata.org/entity/Q89316885,Compass Glacier
http://www.wikidata.org/entity/Q89481538,Bichom Glacier
http://www.wikidata.org/entity/Q89482357,Hari parbat Glacier
http://www.wikidata.org/entity/Q89865845,Turnback Glacier
http://www.wikidata.org/entity/Q90408885,Glacier Col
http://www.wikidata.org/entity/Q90570453,Hawkesbury Glacier
http://www.wikidata.org/entity/Q90901547,Stadium Glacier
http://www.wikidata.org/entity/Q90966643,Smaug Glacier
http://www.wikidata.org/entity/Q90968955,Lindworm Glacier
http://www.wikidata.org/entity/Q90983857,Tatsu Glacier
http://www.wikidata.org/entity/Q91102665,Doyle Glacier
http://www.wikidata.org/entity/Q91105719,Splettstoesser Glacier
http://www.wikidata.org/entity/Q91110328,Helava Glacier
http://www.wikidata.org/entity/Q91111515,Schoeling Glacier
http://www.wikidata.org/entity/Q91112763,Kraus Glacier
http://www.wikidata.org/entity/Q91169367,Lampe Glacier
http://www.wikidata.org/entity/Q91170541,Admiralen Glacier
http://www.wikidata.org/entity/Q91172202,Smith Glacier
http://www.wikidata.org/entity/Q91175619,Keith Glacier
http://www.wikidata.org/entity/Q91184779,Torlegård Glacier
http://www.wikidata.org/entity/Q91201305,Triangular Glacier
http://www.wikidata.org/entity/Q91231739,Glasser Glacier
http://www.wikidata.org/entity/Q91288026,Beta Glacier
http://www.wikidata.org/entity/Q91288924,Alpha Glacier
http://www.wikidata.org/entity/Q93475772,Q93475772
http://www.wikidata.org/entity/Q94579415,Q94579415
http://www.wikidata.org/entity/Q94691511,Lednik Vstrechnyj
http://www.wikidata.org/entity/Q95571273,Q95571273
http://www.wikidata.org/entity/Q96622976,Aagaardbreen
http://www.wikidata.org/entity/Q96678347,Nares Glacier
http://www.wikidata.org/entity/Q96678349,Mary Powell Glacier
http://www.wikidata.org/entity/Q97097402,Peterman Glacier
http://www.wikidata.org/entity/Q97104263,Sør-Rondanebreen
http://www.wikidata.org/entity/Q97119212,Vestre Orvinbreen
http://www.wikidata.org/entity/Q97119217,Austre Orvinbreen
http://www.wikidata.org/entity/Q97119440,Tordenbreen
