item,itemLabel
http://www.wikidata.org/entity/Q63978100,Bagley Ice Valley
http://www.wikidata.org/entity/Q63982807,Harriman Fiord
http://www.wikidata.org/entity/Q60968541,Q60968541
http://www.wikidata.org/entity/Q60968613,Q60968613
http://www.wikidata.org/entity/Q64141401,Aleutian Range
http://www.wikidata.org/entity/Q63982855,Mount Jefferson
http://www.wikidata.org/entity/Q63982849,Lake Sevan
http://www.wikidata.org/entity/Q64141576,Aniakchak Crater
http://www.wikidata.org/entity/Q63982805,Fieschergletscher
http://www.wikidata.org/entity/Q64141927,Brooks Range
http://www.wikidata.org/entity/Q64141568,Bacon Peak
http://www.wikidata.org/entity/Q63982809,Taylor Glacier
http://www.wikidata.org/entity/Q64141570,Altyn Peak
http://www.wikidata.org/entity/Q64141902,Bruggen (Pio XI) Glacier
http://www.wikidata.org/entity/Q64141592,Barkley Ridge
http://www.wikidata.org/entity/Q64141580,Adams Inlet
http://www.wikidata.org/entity/Q63982845,Bradfield Canal
http://www.wikidata.org/entity/Q64141557,Avalanche Canyon
http://www.wikidata.org/entity/Q64141925,Black Glacier
http://www.wikidata.org/entity/Q63982857,Mount Ethel
http://www.wikidata.org/entity/Q64141619,Adams Glacier
http://www.wikidata.org/entity/Q63983321,Far North Glacier
http://www.wikidata.org/entity/Q63982862,glacier Dent Blanche
http://www.wikidata.org/entity/Q63985533,Cooper Pass
http://www.wikidata.org/entity/Q63982861,Marvine Glacier
http://www.wikidata.org/entity/Q64141379,Antizana 15 Alpha Glacier
http://www.wikidata.org/entity/Q64141584,Akuluktok Peak
http://www.wikidata.org/entity/Q64141564,Alpetli Glacier
http://www.wikidata.org/entity/Q64141384,Arenales Glacier
http://www.wikidata.org/entity/Q64141896,Carstensz Pyramid Glacier
http://www.wikidata.org/entity/Q63982846,Gravel Glacier
http://www.wikidata.org/entity/Q64141383,Balfour Glacier
http://www.wikidata.org/entity/Q64141473,Amphu Laptse Glacier
http://www.wikidata.org/entity/Q64141607,Avangnardleq Glacier
