item,itemLabel,itemDescription,statement_count
http://www.wikidata.org/entity/Q684169,Pasterze Glacier,glacier in Austria,17
http://www.wikidata.org/entity/Q691557,Gangotri Glacier,glacier in India,17
http://www.wikidata.org/entity/Q764134,Byrd Glacier,glacier in Antarctica,17
http://www.wikidata.org/entity/Q870017,Giétro Glacier,glacier in Switzerland,17
http://www.wikidata.org/entity/Q882513,Blaueis,glacier in Germany,17
http://www.wikidata.org/entity/Q962630,Upsala Glacier,glacier in the Southern Patagonian Ice Field,17
http://www.wikidata.org/entity/Q1567905,Hispar Glacier,glacier in Pakistan,17
http://www.wikidata.org/entity/Q1585036,Hardangerjøkulen,glacier in Norway,17
http://www.wikidata.org/entity/Q1783496,Austerdalsbreen,glacier in Norway,17
http://www.wikidata.org/entity/Q4691426,Agassiz Glacier,"glacier in Montana, United States",17
http://www.wikidata.org/entity/Q16891672,Gimlebreen,glacier in Svalbard,17
http://www.wikidata.org/entity/Q7262635,Puyallup Glacier,glacier on Mount Rainier in the United States of America,17
http://www.wikidata.org/entity/Q19399099,Ålmåjjiegŋa,glacier in Sweden,17
http://www.wikidata.org/entity/Q554383,Hofsjökull,glacier in Iceland,17
http://www.wikidata.org/entity/Q33481546,Ronne Ice Shelf,,17
http://www.wikidata.org/entity/Q68582901,Humboldt glacier,"Venezuela's sole glacier, on Humboldt peak",17
http://www.wikidata.org/entity/Q3108351,Glacier de Taconnaz,glacier in France,16
http://www.wikidata.org/entity/Q3439064,Jostefonn,"glacier in Vestland, Norway",16
http://www.wikidata.org/entity/Q2238475,Schlatenkees glacier,glacier,16
http://www.wikidata.org/entity/Q2331537,Kongsvegen glacier,glacier in Svalbard,16
http://www.wikidata.org/entity/Q2944385,Shackleton Glacier,glacier in Antarctica,16
http://www.wikidata.org/entity/Q3108296,Erebus Ice Tongue,,16
http://www.wikidata.org/entity/Q200793,Argentière Glacier,glacier in France,16
http://www.wikidata.org/entity/Q260322,Skelton Glacier,glacier in Antarctica,16
http://www.wikidata.org/entity/Q549647,Bossons Glacier,glacier in France,16
http://www.wikidata.org/entity/Q572156,Bondhusbreen,glacier in Norway,16
http://www.wikidata.org/entity/Q631789,Fedchenko Glacier,glacier in Tajikistan,16
http://www.wikidata.org/entity/Q664777,Rosenlaui Glacier,glacier in the Bernese Oberland region of Switzerland,16
http://www.wikidata.org/entity/Q670540,Trient Glacier,glacier in Switzerland,16
http://www.wikidata.org/entity/Q28056513,Biscayarfonna,ice cap,16
http://www.wikidata.org/entity/Q676703,Tschierva Glacier,glacier in Switzerland,16
http://www.wikidata.org/entity/Q855226,Biafo Glacier,glacier in Pakistan,16
http://www.wikidata.org/entity/Q868500,Monacobreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q896510,Höllentalferner,glacier in Germany,16
http://www.wikidata.org/entity/Q1659727,Nordenskiöldbreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q6724703,Maclure Glacier,glacier in the United States,16
http://www.wikidata.org/entity/Q6890362,Moffett Glacier,glacier in Antarctica,16
http://www.wikidata.org/entity/Q11072886,Tunabreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q11252957,Linájiekŋa,"glacier in Fauske, Nordland, Norway",16
http://www.wikidata.org/entity/Q16896330,Palanderisen,"glacier at Nordaustlandet, Svalbard, Norway",16
http://www.wikidata.org/entity/Q16896597,Duckwitzbreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q16897062,Rijpbreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q16920731,Deltabreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q7271170,Queets Glacier,"glacier in Washington state, United States",16
http://www.wikidata.org/entity/Q5373601,Emmons Glacier,glacier in the United States,16
http://www.wikidata.org/entity/Q7713109,Rabots Glacier,glacier in Sweden,16
http://www.wikidata.org/entity/Q28065182,Eindridebreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q28065184,Hårbardbreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q28068041,Eltonbreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q28086725,Schwerdtbreen,glacier in Svalbard,16
http://www.wikidata.org/entity/Q555948,Drangajökull,glacier on Iceland,16
http://www.wikidata.org/entity/Q1310658,Eiríksjökull,mountain in Iceland,16
http://www.wikidata.org/entity/Q11762348,Filchner Ice Shelf,,16
http://www.wikidata.org/entity/Q106473131,Romanche glacier,former glacier in France,16
http://www.wikidata.org/entity/Q3373225,Etonbreen,"glacier at Nordaustlandet, Svalbard, Norway",15
http://www.wikidata.org/entity/Q3373289,Björlings glaciär,,15
http://www.wikidata.org/entity/Q3446029,Borchgrevinkisen,glacier in Antarctica,15
http://www.wikidata.org/entity/Q2331507,Negribreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q2594136,Worthington Glacier,glacier in the United States,15
http://www.wikidata.org/entity/Q2648183,Nevado del Quindío,mountain in Colombia,15
http://www.wikidata.org/entity/Q2803023,Bøyabreen,"glacier in Sogndal, Norway",15
http://www.wikidata.org/entity/Q3108275,Borchgrevink Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q3108304,Nimrod Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q3108326,Glacier d'Arsine,,15
http://www.wikidata.org/entity/Q116999,Bagley Icefield,"glacier in Alaska, United States",15
http://www.wikidata.org/entity/Q335883,Þórisjökull,mountain in Iceland,15
http://www.wikidata.org/entity/Q634287,Grinnell Glacier,"glacier in Montana, United States",15
http://www.wikidata.org/entity/Q672509,Oberaar Glacier,glacier in Switzerland,15
http://www.wikidata.org/entity/Q674056,Lower Grindelwald Glacier,glacier in Switzerland,15
http://www.wikidata.org/entity/Q674545,Otemma Glacier,glacier in Switzerland,15
http://www.wikidata.org/entity/Q16893769,Kvitøyjøkulen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q774759,Portage Glacier,glacier in the United States,15
http://www.wikidata.org/entity/Q1116272,Commonwealth Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q1140440,Haupapa / Tasman Glacier,glacier in New Zealand,15
http://www.wikidata.org/entity/Q1294963,Hochjochferner,glacier in the Ötztal Alps at the border of Tyrol / South Tyrol,15
http://www.wikidata.org/entity/Q1389467,Fimbul Ice Shelf,ice shelf in Antarctica,15
http://www.wikidata.org/entity/Q1535568,Taku Glacier,glacier in the United States,15
http://www.wikidata.org/entity/Q1769599,Engabreen,,15
http://www.wikidata.org/entity/Q1771576,Gihtsejiegņa,"glacier in Tysfjord, Norway",15
http://www.wikidata.org/entity/Q1895241,Margerie Glacier,glacier in the United States,15
http://www.wikidata.org/entity/Q4579193,Supphellebreen,"glacier in Sogndal, Norway",15
http://www.wikidata.org/entity/Q4709266,Albanus Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q7968309,Waputik Icefield,"glacier in the Park Ranges of the Canadian Rockies in Alberta and British Columbia, Canada",15
http://www.wikidata.org/entity/Q11989030,Mendeleevbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q11993766,Olsokbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q4784181,Arapaho Glacier,"glacier in Colorado, USA",15
http://www.wikidata.org/entity/Q6756939,Matataua Glacier,"glacier in the Royal Society Range, Victoria Land, Antarctica",15
http://www.wikidata.org/entity/Q4952223,Boyana Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q15253097,Mercury Glacier,"glacier in the Cook Mountains, Antarctica",15
http://www.wikidata.org/entity/Q16561165,Pilatte Glacier,glacier in France,15
http://www.wikidata.org/entity/Q5037916,Carbon Glacier,glacier in the United States,15
http://www.wikidata.org/entity/Q10544604,Kebnepakteglaciären,glacier in Sweden,15
http://www.wikidata.org/entity/Q11069714,Lilliehöökbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q11074046,Eidembreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q11075047,Sveabreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q11213516,Brenndalsbreen,glacier in Norway,15
http://www.wikidata.org/entity/Q16840823,Besselsbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q16844652,Borebreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q16891424,Freemanbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q16896538,Bragebreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q16897117,Samarinbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q7134276,Paradise Glacier,glacier on Mount Rainier in the United States of America,15
http://www.wikidata.org/entity/Q5158708,Lituya Glacier,glacier in the United States,15
